frame,track,u,v
0,0,0.32187010292653284,0.10372943878607231
0,1,0.6685470129652316,0.8242727832051536
0,2,0.16392413472600764,0.7128703680376038
1,0,0.2676122443704487,0.14695791837633848
1,1,0.73404713871281,0.8750179915442315
1,2,0.19148346956323525,0.6459940881935793
2,0,0.20391138712124854,0.178640593666146
2,1,0.788847318767883,0.9282380938719572
2,2,0.23543860539907283,0.582970321920731
3,0,0.14216757213669887,0.2292144502076043
3,1,0.8543074390351384,0.9733767012040578
3,2,0.28288911682647244,0.5217657637019837
4,0,0.08089567244724352,0.2664985877950394
4,1,None,None
4,2,0.32488616265201653,0.452808161500151
5,0,0.014774066300533413,0.3188769772967963
5,1,None,None
5,2,0.3533665644663908,0.39324839747372925
